age,num_ooids,all_carbonate,carb_no_ooids,all_sediment,sed_no_ooids,all_dolomite,dol_no_ooids
78,5.0,19.0,15.0,102.0,98.0,2.0,2.0
79,6.0,20.0,16.0,109.0,104.0,2.0,2.0
80,7.0,21.0,17.0,126.0,120.0,2.0,2.0
81,6.0,19.0,16.0,110.0,105.0,2.0,2.0
82,6.0,19.0,16.0,106.0,101.0,2.0,2.0
83,8.0,25.0,21.0,124.0,118.0,2.0,2.0
84,9.0,24.0,20.0,118.0,110.0,2.0,2.0
85,9.0,23.0,19.0,110.0,102.0,2.0,2.0
86,9.0,27.0,22.0,113.0,106.0,2.0,2.0
87,7.0,27.0,22.0,107.0,103.0,2.0,2.0
88,7.0,25.0,21.0,101.0,96.0,3.0,3.0
89,7.0,29.0,25.0,111.0,107.0,3.0,3.0
90,10.0,27.0,22.0,117.0,109.0,0.0,0.0
91,9.0,23.0,18.0,100.0,94.0,0.0,0.0
92,10.0,27.0,22.0,114.0,108.0,0.0,0.0
93,11.0,30.0,24.0,117.0,109.0,0.0,0.0
94,11.0,25.0,19.0,96.0,87.0,0.0,0.0
95,16.0,37.0,29.0,130.0,114.0,1.0,1.0
96,15.0,27.0,20.0,100.0,84.0,1.0,1.0
97,15.0,25.0,18.0,99.0,83.0,1.0,1.0
98,11.0,26.0,22.0,106.0,92.0,1.0,1.0
99,11.0,24.0,20.0,101.0,88.0,2.0,2.0
100,12.0,30.0,25.0,123.0,108.0,2.0,2.0
101,10.0,31.0,27.0,108.0,97.0,3.0,3.0
102,11.0,31.0,26.0,121.0,109.0,4.0,4.0
103,11.0,31.0,26.0,134.0,125.0,6.0,6.0
104,8.0,30.0,26.0,122.0,114.0,6.0,6.0
105,8.0,29.0,25.0,115.0,109.0,5.0,5.0
106,9.0,29.0,24.0,111.0,104.0,4.0,4.0
107,8.0,24.0,21.0,104.0,98.0,4.0,4.0
108,8.0,23.0,20.0,115.0,108.0,4.0,4.0
109,11.0,26.0,22.0,127.0,114.0,5.0,5.0
110,10.0,25.0,22.0,114.0,104.0,4.0,4.0
111,10.0,22.0,19.0,105.0,95.0,4.0,4.0
112,10.0,21.0,18.0,98.0,88.0,4.0,4.0
113,12.0,27.0,23.0,119.0,107.0,4.0,4.0
114,13.0,16.0,13.0,93.0,79.0,2.0,2.0
115,15.0,21.0,16.0,110.0,94.0,4.0,3.0
116,12.0,17.0,13.0,86.0,75.0,2.0,1.0
117,12.0,14.0,10.0,85.0,74.0,1.0,0.0
118,13.0,13.0,8.0,84.0,73.0,1.0,0.0
119,14.0,13.0,8.0,89.0,79.0,1.0,0.0
120,11.0,12.0,7.0,76.0,68.0,1.0,0.0
121,11.0,12.0,7.0,79.0,71.0,1.0,0.0
122,9.0,12.0,7.0,64.0,58.0,1.0,0.0
123,9.0,12.0,7.0,68.0,62.0,1.0,0.0
124,6.0,12.0,7.0,59.0,56.0,1.0,0.0
125,5.0,12.0,7.0,58.0,55.0,1.0,0.0
126,5.0,12.0,7.0,58.0,55.0,1.0,0.0
127,5.0,12.0,7.0,63.0,60.0,1.0,0.0
128,5.0,12.0,7.0,58.0,55.0,1.0,0.0
129,5.0,13.0,8.0,64.0,61.0,1.0,0.0
